Trace ID        | Total Hits | Total Misses | L1 Instr. Hits | L1 Instr. Misses | L1 Data Hits | L1 Data Misses | L2 Hits (Assoc 2) | L2 Misses (Assoc 2) | L2 Hits (Assoc 4) | L2 Misses (Assoc 4) | L2 Hits (Assoc 8) | L2 Misses (Assoc 8) | DRAM Accesses | Energy Consumed (pJ) | Total Time (ns) | Avg Access Time (ns) | Miss Rate (%)
048.ora.din     | 999566     | 913          | 799494         | 277              | 200031       | 200            | 41                | 436                 | 35                | 442                 | 37                | 440                 | 436           | 70701364780.0        | 4198049.0       | 1.045                | 0.091
015.doduc.din   | 997823     | 8817         | 751169         | 4024             | 242191       | 2616           | 4463              | 2177                | 4390              | 2250                | 4400              | 2240                | 2177          | 75005252300.0        | 5352464.0       | 1.243                | 0.876
022.li.din      | 999248     | 7805         | 739921         | 2333             | 253032       | 4717           | 6295              | 755                 | 6303              | 747                 | 6259              | 791                 | 755           | 78651711280.0        | 4726817.0       | 1.103                | 0.775
026.compress.din| 994599     | 18338        | 721147         | 69               | 265916       | 12868          | 7536              | 5401                | 7391              | 5546                | 7277              | 5660                | 5401          | 85092751080.0        | 7129592.0       | 1.584                | 1.810
085.gcc.din     | 997997     | 20064        | 766890         | 12625            | 215049       | 5436           | 16058             | 2003                | 16129             | 1932                | 16133             | 1928                | 2003          | 89794256320.0        | 6592976.0       | 1.268                | 1.971
094.fpppp.din   | 998469     | 14524        | 692827         | 7673             | 294180       | 5320           | 11462             | 1531                | 11532             | 1461                | 11474             | 1519                | 1531          | 94087939960.0        | 5473288.0       | 1.202                | 1.434
008.espresso.din| 999543     | 3094         | 807730         | 1638             | 189633       | 999            | 2180              | 457                 | 2138              | 499                 | 2133              | 504                 | 457           | 97517489680.0        | 4298192.0       | 1.056                | 0.309
013.spice2g6.din| 999368     | 3926         | 781622         | 2557             | 215088       | 735            | 2658              | 634                 | 2616              | 676                 | 2625              | 667                 | 634           | 101078555240.0       | 4574080.0       | 1.076                | 0.391
047.tomcatv.din | 991317     | 19057        | 615467         | 77               | 374159       | 10297          | 1691              | 8683                | 1693              | 8681                | 1716              | 8658                | 8683          | 109828798040.0       | 7723884.0       | 1.900                | 1.886
089.su2cor.din  | 997103     | 6487         | 736725         | 456              | 259685       | 3134           | 693               | 2897                | 732               | 2858                | 723               | 2867                | 2897          | 114871117640.0       | 5272640.0       | 1.303                | 0.646
090.hydro2d.din | 994061     | 18672        | 747889         | 799              | 239378       | 11934          | 6794              | 5939                | 6311              | 6422                | 6226              | 6507                | 5939          | 121960582560.0       | 7342928.0       | 1.637                | 1.844
093.nasa7.din   | 998833     | 4392         | 802599         | 372              | 194176       | 2853           | 2058              | 1167                | 1855              | 1370                | 1828              | 1397                | 1167          | 125845878040.0       | 4735900.0       | 1.129                | 0.438
039.wave5.din   | 999337     | 1490         | 827142         | 458              | 172031       | 369            | 164               | 663                 | 155               | 672                 | 143               | 684                 | 663           | 129388680960.0       | 4296332.0       | 1.070                | 0.149
023.eqntott.din | 998800     | 3424         | 769584         | 175              | 228192       | 2049           | 1024              | 1200                | 1004              | 1220                | 940               | 1284                | 1200          | 133284212160.0       | 4597384.0       | 1.129                | 0.342
034.mdljdp2.din | 998933     | 3532         | 767515         | 1028             | 230020       | 1437           | 1398              | 1067                | 1425              | 1040                | 1398              | 1067                | 1067          | 137099743800.0       | 4575240.0       | 1.116                | 0.352
